stem,style,lpips,ssim,histogram_distance
thanh1+𣌌,thanh1,0.0886949747800827,0.6743235518364762,17.826858217263172
thanh1+𪢌,thanh1,0.10254290699958801,0.6170538298356365,0.09382906777085782
thanh1+𡎜,thanh1,0.06856686621904373,0.7540476188670058,0.10131736607394237
thanh1+󱞈,thanh1,0.08328129351139069,0.7395281157749708,0.10320163378220791
thanh1+𫼿,thanh1,0.07651627063751221,0.7311211642848453,0.14366828207047402
thanh1+󱢉,thanh1,0.07534375041723251,0.7347374891594967,0.09072608369929175
thanh1+𠴌,thanh1,0.10756909847259521,0.6302186277626473,0.11891781918165935
thanh1+󱢅,thanh1,0.07494976371526718,0.590945665811004,0.10801613795135663
thanh1+󱹻,thanh1,0.10086711496114731,0.5988674813012094,0.13520550397167497
thanh1+湳,thanh1,0.07325950264930725,0.7557195145785,0.09838264026717385
thanh1+𬧡,thanh1,0.09540748596191406,0.7641308456544956,0.12110003807080183
thanh1+󰮁,thanh1,0.06791272014379501,0.7097302694325515,0.14445830879756139
thanh1+𠸬,thanh1,0.08856286853551865,0.666593993276153,0.2047474866453314
thanh1+󱜺,thanh1,0.0964517816901207,0.6279127384503744,0.08644179943461829
thanh1+𫄋,thanh1,0.0719989538192749,0.7359306752214198,0.14828320426509753
thanh1+囄,thanh1,0.07415652275085449,0.6322753663389834,0.09005547336241514
thanh1+󱥯,thanh1,0.10966536402702332,0.48027481701419567,0.18593713068960083
thanh1+䓬,thanh1,0.06442852318286896,0.819583804190896,0.08385620007643785
thanh1+󱰍,thanh1,0.10588106513023376,0.4423075891329346,0.13778200447487896
thanh1+𡚝,thanh1,0.10332034528255463,0.5812803692708566,0.20154032330951588
thanh1+𤄷,thanh1,0.09986326843500137,0.7757642995803997,0.11881421373445183
thanh1+󱤚,thanh1,0.10448779165744781,0.6202294086446726,0.1554647612366501
thanh1+𢪭,thanh1,0.08581772446632385,0.7300281723971511,259.330282409507
thanh1+𫴇,thanh1,0.08234307169914246,0.6928557380254007,0.1435517286214267
thanh1+𠸫,thanh1,0.09278884530067444,0.642106802477323,70.23195425487987
thanh1+𬅷,thanh1,0.09313984215259552,0.6066034791102816,92.67484131036457
thanh1+𡎤,thanh1,0.10400153696537018,0.5305557405471516,0.17546419354444598
thanh1+󱊚,thanh1,0.08887208998203278,0.7135926334411429,0.0803247892147191
thanh1+𢀦,thanh1,0.07064436376094818,0.7130745772054288,0.11139473743549762
thanh1+𦨂,thanh1,0.08209262788295746,0.689672703972429,0.19878566953503504
thanh1+𨄮,thanh1,0.05757278949022293,0.6884049628063302,0.09973049436382715
thanh1+𧿯,thanh1,0.09510571509599686,0.7083400025948057,0.077948338718971
thanh1+󱰯,thanh1,0.08291572332382202,0.6998978961864104,0.09584267147640228
thanh1+󱮝,thanh1,0.1151769757270813,0.4913463476383513,0.25954388555285685
thanh1+𡅩,thanh1,0.13262279331684113,0.4204907085252799,0.1367726041098756
