stem,style,lpips,ssim,histogram_distance
thanh1+𣌌,thanh1,0.13213013112545013,0.5747641342170149,0.2924970957846806
thanh1+𪢌,thanh1,0.08943095803260803,0.6173080576862162,0.15999159407057964
thanh1+𡎜,thanh1,0.0664055198431015,0.7520751615016557,0.14148421151317161
thanh1+󱞈,thanh1,0.09207694977521896,0.6843414809300812,0.1442677773572341
thanh1+𫼿,thanh1,0.06899109482765198,0.6888625999384714,0.11254624382169809
thanh1+󱢉,thanh1,0.09636315703392029,0.5689214987584867,0.15658643380455195
thanh1+𠴌,thanh1,0.12662191689014435,0.585682711085712,0.15411226094537062
thanh1+󱢅,thanh1,0.09617074579000473,0.6095257586979246,3.045654179696644
thanh1+󱹻,thanh1,0.13392777740955353,0.6455995195730565,0.21513721156534793
thanh1+湳,thanh1,0.10672985762357712,0.5731396925424929,0.2154171088920834
thanh1+𬧡,thanh1,0.08634728193283081,0.7283632766652122,0.11124904514573926
thanh1+󰮁,thanh1,0.11097951978445053,0.4866589881168755,0.1833667576452622
thanh1+𠸬,thanh1,0.08688516169786453,0.6279831007370573,0.24282682040137046
thanh1+󱜺,thanh1,0.10683862864971161,0.5487402702737999,0.07595065245700736
thanh1+𫄋,thanh1,0.07173813134431839,0.7241445572594912,0.13610788626533818
thanh1+囄,thanh1,0.07336912304162979,0.7197859500196575,0.1694190673743637
thanh1+󱥯,thanh1,0.1057819202542305,0.5210750592377239,0.1935880487002695
thanh1+䓬,thanh1,0.05937398970127106,0.8257799764502025,0.08829154082161826
thanh1+󱰍,thanh1,0.0881606787443161,0.7289854653085397,0.1317165042228499
thanh1+𡚝,thanh1,0.07180020213127136,0.7637168213854304,0.10449589301191074
thanh1+𤄷,thanh1,0.1225755512714386,0.6103769310601754,0.188863305856802
thanh1+󱤚,thanh1,0.11469609290361404,0.6174445451866956,0.22518193902391745
thanh1+𢪭,thanh1,0.0698791965842247,0.7563094197414961,0.13723891171111183
thanh1+𫴇,thanh1,0.09432400017976761,0.5774282905109175,0.3410512343538228
thanh1+𠸫,thanh1,0.0838184505701065,0.6850439165148973,0.10532099999912777
thanh1+𬅷,thanh1,0.11842896044254303,0.6459186240902288,0.19409376366190387
thanh1+𡎤,thanh1,0.09244339913129807,0.6762848727528937,0.174548146437794
thanh1+󱊚,thanh1,0.10765746235847473,0.6792819900763111,0.11754112714838261
thanh1+𢀦,thanh1,0.07491812109947205,0.6989204850361205,0.14449420802800866
thanh1+𦨂,thanh1,0.08963146060705185,0.6273013409127218,0.14466536189584833
thanh1+𨄮,thanh1,0.08504612743854523,0.5221961376826005,0.11964401314707945
thanh1+𧿯,thanh1,0.1082078069448471,0.6382883984039839,0.13237109589647952
thanh1+󱰯,thanh1,0.0929827019572258,0.7191962385674422,0.15414037227853022
thanh1+󱮝,thanh1,0.06958801299333572,0.7300152345356601,0.15726877314879592
thanh1+𡅩,thanh1,0.17625048756599426,0.43294621230560065,0.32257046979868426
thanh1+󰄜,thanh1,0.11667867004871368,0.4942907860242663,0.3195923664603184
thanh1+𦨭,thanh1,0.0882396250963211,0.6629224837258817,0.11572409781914443
thanh1+𬄪,thanh1,0.08392121642827988,0.7529702576157115,0.15774626734646405
thanh1+󱜉,thanh1,0.08357656002044678,0.5553337705217694,0.15564477721473904
thanh1+󰂻,thanh1,0.06953798979520798,0.7614947060135311,0.11130725368060679
thanh1+󱟫,thanh1,0.08716972172260284,0.7496907119557505,32.41220592025213
thanh1+𬮷,thanh1,0.1411486268043518,0.45818067285590347,0.14198120667744898
thanh1+𡮣,thanh1,0.11266466230154037,0.6478619799553693,0.1493023459362521
thanh1+󱧖,thanh1,0.11697815358638763,0.7161604938868711,0.14558037443580552
thanh1+㧪,thanh1,0.09142381697893143,0.6697246196528865,0.22296368836433444
thanh1+󱬔,thanh1,0.08229289203882217,0.6101019211650288,0.18722673083536912
thanh1+𪢊,thanh1,0.08042477071285248,0.7268450026748452,0.2003066712497145
thanh1+󰭂,thanh1,0.10497210919857025,0.6766459519692848,0.12206568019006137
thanh1+𢅄,thanh1,0.07441532611846924,0.5492729979970563,0.11409190768931592
thanh1+𥶱,thanh1,0.12553581595420837,0.45241458845913335,0.30173784492255934
thanh1+啲,thanh1,0.07956793904304504,0.7250546073318778,0.09795626654202501
thanh1+𩯂,thanh1,0.09243433177471161,0.6747195508815681,0.27726179769072423
thanh1+𩼁,thanh1,0.10065315663814545,0.6579420589957561,0.1281688239251223
thanh1+𫟌,thanh1,0.1232583075761795,0.7053305294886079,0.09262312739446467
thanh1+㗩,thanh1,0.11670152842998505,0.6300622293277188,0.192612359734879
thanh1+󱛍,thanh1,0.054362475872039795,0.7519344874354064,0.09507435971433159
thanh1+𫆮,thanh1,0.07384271919727325,0.7351023269049876,0.16338585521822543
thanh1+𪡿,thanh1,0.09382066875696182,0.6634626242621412,0.23559145210175778
thanh1+𢹊,thanh1,0.10846521705389023,0.6175712578180121,0.5435204413260892
thanh1+󰧙,thanh1,0.08354643732309341,0.7551781284565332,0.10897151145317874
thanh1+󱘧,thanh1,0.09518138319253922,0.6634235931893664,0.1931313520979744
thanh1+𦷬,thanh1,0.07170730829238892,0.6939608919374326,0.10877484980819509
thanh1+󱞕,thanh1,0.10430081188678741,0.5374720940370349,0.10634774005589069
thanh1+𠼸,thanh1,0.10532587766647339,0.6393944751311509,0.19651461045033078
thanh1+𤉓,thanh1,0.08982226997613907,0.742466006011463,0.12490961576688664
thanh1+𤯱,thanh1,0.09234476089477539,0.7722793231614037,0.1465562077269117
thanh1+𧒅,thanh1,0.10494782030582428,0.6269199336005702,1.316380558264706
thanh1+󱟉,thanh1,0.09736809134483337,0.5918395987380923,0.3146272923718707
thanh1+𡪦,thanh1,0.11163900047540665,0.6279901945324182,0.20150011598075654
thanh1+󰊫,thanh1,0.10511495918035507,0.6212627707601904,0.13980417793803993
thanh1+𪝅,thanh1,0.0762920081615448,0.7947287484921455,0.10556397742531233
thanh1+𫪎,thanh1,0.0793505534529686,0.7830407722772367,0.10843533697838509
thanh1+󱳴,thanh1,0.09179234504699707,0.4928038726183503,0.21194990467842334
thanh1+󰢽,thanh1,0.06692171841859818,0.776543472922573,0.13865508742705693
thanh1+𩵾,thanh1,0.0768522322177887,0.7129400005846483,0.15343802979633
thanh1+󱼓,thanh1,0.0998319685459137,0.7268698160699834,0.13752032097761482
thanh1+𫫜,thanh1,0.10158571600914001,0.4862514445140046,0.10097333951642441
thanh1+󰮯,thanh1,0.08005712181329727,0.6364523462825831,0.1888043929414894
thanh1+𡁝,thanh1,0.11151480674743652,0.722383564803402,0.14488313844611145
thanh1+𠴭,thanh1,0.08970683068037033,0.6508236627690793,6.335513817546207
thanh1+󱫗,thanh1,0.088918536901474,0.6225979949112063,0.25713392556583103
thanh1+𪻋,thanh1,0.07659950107336044,0.7331958489823024,0.1979516498827819
thanh1+𬟻,thanh1,0.09523853659629822,0.6892767339026532,0.10499075914759333
thanh1+󰢣,thanh1,0.11175550520420074,0.5788970290807937,0.300122715896133
thanh1+捠,thanh1,0.07376397401094437,0.7648440428275383,0.10200174687003137
thanh1+𪡎,thanh1,0.07121048122644424,0.6641663878325681,0.12832746557053953
thanh1+𡫶,thanh1,0.09853379428386688,0.5572834516675388,0.19136937786600902
thanh1+󱫠,thanh1,0.11071739345788956,0.6431857355493392,0.22601553865328258
thanh1+𰈏,thanh1,0.0844622552394867,0.7719440101360479,0.1787562681695111
thanh1+篵,thanh1,0.09654726833105087,0.6363264526360033,0.2825609477581783
thanh1+󰊎,thanh1,0.09714645892381668,0.6697267089600178,0.25116073593758176
thanh1+󱪢,thanh1,0.0770038366317749,0.7463538972298656,0.1379562183847723
thanh1+𡮛,thanh1,0.08276429027318954,0.734105028931618,0.13068920451724275
thanh1+𨁟,thanh1,0.06801830977201462,0.6918963530483953,0.11534064379172633
thanh1+󱛹,thanh1,0.09148384630680084,0.6275690666278143,0.1746111254809294
thanh1+𫑺,thanh1,0.11325918883085251,0.6391257213052317,0.20189870620711234
thanh1+𠶈,thanh1,0.07734151184558868,0.8003490911969882,0.07688586694168174
thanh1+𡎡,thanh1,0.06241144984960556,0.7168560495280402,0.07417695493460215
thanh1+󰼀,thanh1,0.07326042652130127,0.7497693556324144,0.15153699521729844
