comparison,scale1,scale2,lpips,ssim,histogram_distance,fid
15P1-15P2-step20-scale10-generations_vs_15P1-15P2-step20-scale11-generations,10,11,0.053666484851390125,0.7973224377533034,7.995120448221654,
15P1-15P2-step20-scale10-generations_vs_15P1-15P2-step20-scale12-generations,10,12,0.0631235971339047,0.7759686643058022,9.751273085457765,
15P1-15P2-step20-scale11-generations_vs_15P1-15P2-step20-scale12-generations,11,12,0.06024096954683773,0.7735579145465947,8.071180847112284,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale10-generations,3,10,0.08645424625463784,0.7340697564171895,8.849841026858252,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale11-generations,3,11,0.09855332206748425,0.7058528347076314,12.75807974903151,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale12-generations,3,12,0.11303797200275585,0.6771035343484423,13.632250496830835,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale4-generations,3,4,0.052956245873123406,0.802182965009676,0.990230430336119,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale5-generations,3,5,0.05590221447288059,0.7972708990304163,2.2980863084710488,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale6-generations,3,6,0.059684300481807444,0.7891783449873837,2.0275553416600336,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale7-generations,3,7,0.06862454000767321,0.7510237123107083,3.553416065619032,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale8-generations,3,8,0.07018844691663981,0.7693260679543344,5.825751481638761,
15P1-15P2-step20-scale3-generations_vs_15P1-15P2-step20-scale9-generations,3,9,0.07765033654822037,0.7536610355915486,7.516938796642562,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale10-generations,4,10,0.07442730122525244,0.7588364955184971,8.90624154001677,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale11-generations,4,11,0.08597009737370535,0.7320949676671948,12.20334933548983,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale12-generations,4,12,0.10048428029008209,0.7040933724253354,13.191751171980144,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale5-generations,4,5,0.049478465538937595,0.8126853141106729,2.4024885015838757,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale6-generations,4,6,0.05116766061657108,0.810024914008326,2.0468087657499705,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale7-generations,4,7,0.058347181687597185,0.7730073606181175,3.662151813826252,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale8-generations,4,8,0.059606795743107795,0.7919067227646318,5.454755749404061,
15P1-15P2-step20-scale4-generations_vs_15P1-15P2-step20-scale9-generations,4,9,0.06610637688916177,0.7782795942191417,7.195273268592319,
15P1-15P2-step20-scale5-generations_vs_15P1-15P2-step20-scale10-generations,5,10,0.06530432509095407,0.7780588925900338,8.180748928430575,
15P1-15P2-step20-scale5-generations_vs_15P1-15P2-step20-scale11-generations,5,11,0.07619854789227247,0.7540182980761007,11.653799886320078,
15P1-15P2-step20-scale5-generations_vs_15P1-15P2-step20-scale12-generations,5,12,0.09063909775111824,0.7255215244043206,12.915120089364864,
15P1-15P2-step20-scale5-generations_vs_15P1-15P2-step20-scale6-generations,5,6,0.0467714932912495,0.8195515276380088,2.1219792845085177,
