comparison,steps1,steps2,lpips,ssim,histogram_distance,fid
15P1-15P2-step10-scale7_vs_15P1-15P2-step15-scale7,10,15,0.05752435499150306,0.7968325297679557,2.8303981964849108,
15P1-15P2-step10-scale7_vs_15P1-15P2-step20-scale7,10,20,0.06164094435051084,0.7861691642154579,3.3254205844903235,
15P1-15P2-step10-scale7_vs_15P1-15P2-step25-scale7,10,25,0.06292848162027076,0.780379152035144,3.978217415046856,
15P1-15P2-step10-scale7_vs_15P1-15P2-step50-scale7,10,50,0.06275655519170686,0.7745697379617422,5.854374733550638,
15P1-15P2-step15-scale7_vs_15P1-15P2-step20-scale7,15,20,0.04572624274133705,0.8241475592448514,4.200267539384896,
15P1-15P2-step15-scale7_vs_15P1-15P2-step25-scale7,15,25,0.04632957655703649,0.8219458542613348,4.570758941280234,
15P1-15P2-step15-scale7_vs_15P1-15P2-step50-scale7,15,50,0.04715388989751227,0.8147206337944961,5.947092376984303,
15P1-15P2-step20-scale7_vs_15P1-15P2-step25-scale7,20,25,0.04476965896366164,0.8242462343542839,4.529299324847106,
15P1-15P2-step20-scale7_vs_15P1-15P2-step50-scale7,20,50,0.04644003644096665,0.8136111588121807,6.169510504693944,
15P1-15P2-step25-scale7_vs_15P1-15P2-step50-scale7,25,50,0.0460027870091144,0.8136284977723147,6.463070586236059,
15P1-15P2-step5-scale7_vs_15P1-15P2-step10-scale7,5,10,0.16378672988247125,0.5040989960068354,0.6674207650758516,
15P1-15P2-step5-scale7_vs_15P1-15P2-step15-scale7,5,15,0.18700062847789378,0.4561403847727871,0.9999301253311399,
15P1-15P2-step5-scale7_vs_15P1-15P2-step20-scale7,5,20,0.19213069898821414,0.44380295463753144,1.2232500070140233,
15P1-15P2-step5-scale7_vs_15P1-15P2-step25-scale7,5,25,0.19286804594937712,0.4398617714619775,1.2978356827750281,
15P1-15P2-step5-scale7_vs_15P1-15P2-step50-scale7,5,50,0.1907064840849489,0.43996108817988916,1.7538934155636519,
